======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 5000
Palabras únicas: 3750
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
----------------------------------------------------------------------
kg                             5                 0.10%
managed                        5                 0.10%
pets                           5                 0.10%
schools                        5                 0.10%
wilderness                     5                 0.10%
employers                      4                 0.08%
explain                        4                 0.08%
gps                            4                 0.08%
keeping                        4                 0.08%
loud                           4                 0.08%
manufactured                   4                 0.08%
margaret                       4                 0.08%
nb                             4                 0.08%
opens                          4                 0.08%
passion                        4                 0.08%
petersburg                     4                 0.08%
products                       4                 0.08%
published                      4                 0.08%
qualities                      4                 0.08%
recommends                     4                 0.08%
relates                        4                 0.08%
seasons                        4                 0.08%
sentences                      4                 0.08%
suggestions                    4                 0.08%
terrorist                      4                 0.08%
threats                        4                 0.08%
toner                          4                 0.08%
travelling                     4                 0.08%
useful                         4                 0.08%
webcams                        4                 0.08%
worldcat                       4                 0.08%
wrap                           4                 0.08%
corpus                         3                 0.06%
downtown                       3                 0.06%
drinks                         3                 0.06%
dude                           3                 0.06%
eau                            3                 0.06%
entries                        3                 0.06%
euro                           3                 0.06%
excellence                     3                 0.06%
explicit                       3                 0.06%
filed                          3                 0.06%
fold                           3                 0.06%
founded                        3                 0.06%
game                           3                 0.06%
ground                         3                 0.06%
gtk                            3                 0.06%
guided                         3                 0.06%
habits                         3                 0.06%
half                           3                 0.06%
harris                         3                 0.06%
hilton                         3                 0.06%
hl                             3                 0.06%
inclusion                      3                 0.06%
inf                            3                 0.06%
injury                         3                 0.06%
iraq                           3                 0.06%
italy                          3                 0.06%
jewish                         3                 0.06%
join                           3                 0.06%
jump                           3                 0.06%
kay                            3                 0.06%
keep                           3                 0.06%
key                            3                 0.06%
kurt                           3                 0.06%
lane                           3                 0.06%
late                           3                 0.06%
laundry                        3                 0.06%
leon                           3                 0.06%
leonard                        3                 0.06%
lg                             3                 0.06%
liberal                        3                 0.06%
listings                       3                 0.06%
literary                       3                 0.06%
locally                        3                 0.06%
makeup                         3                 0.06%
manufacturing                  3                 0.06%
martial                        3                 0.06%
masters                        3                 0.06%
matched                        3                 0.06%
matter                         3                 0.06%
mature                         3                 0.06%
meant                          3                 0.06%
message                        3                 0.06%
migration                      3                 0.06%
mines                          3                 0.06%
mixture                        3                 0.06%
moscow                         3                 0.06%
munich                         3                 0.06%
mx                             3                 0.06%
netherlands                    3                 0.06%
newfoundland                   3                 0.06%
nickel                         3                 0.06%
night                          3                 0.06%
nokia                          3                 0.06%
nt                             3                 0.06%
occupations                    3                 0.06%
officers                       3                 0.06%
organizations                  3                 0.06%
original                       3                 0.06%
overview                       3                 0.06%
owned                          3                 0.06%
oxide                          3                 0.06%
ozone                          3                 0.06%
pack                           3                 0.06%
pale                           3                 0.06%
pays                           3                 0.06%
pci                            3                 0.06%
personnel                      3                 0.06%
plants                         3                 0.06%
pleasant                       3                 0.06%
pointing                       3                 0.06%
poker                          3                 0.06%
pregnant                       3                 0.06%
priced                         3                 0.06%
propose                        3                 0.06%
pub                            3                 0.06%
publicly                       3                 0.06%
reasonable                     3                 0.06%
rebates                        3                 0.06%
rec                            3                 0.06%
receives                       3                 0.06%
recorded                       3                 0.06%
recreation                     3                 0.06%
released                       3                 0.06%
remember                       3                 0.06%
replace                        3                 0.06%
representatives                3                 0.06%
represented                    3                 0.06%
requires                       3                 0.06%
reseller                       3                 0.06%
respected                      3                 0.06%
restrict                       3                 0.06%
results                        3                 0.06%
retailer                       3                 0.06%
revolution                     3                 0.06%
revolutionary                  3                 0.06%
rica                           3                 0.06%
risks                          3                 0.06%
river                          3                 0.06%
router                         3                 0.06%
rx                             3                 0.06%
satisfied                      3                 0.06%
secretary                      3                 0.06%
seeks                          3                 0.06%
sega                           3                 0.06%
self                           3                 0.06%
sells                          3                 0.06%
sen                            3                 0.06%
serbia                         3                 0.06%
sharon                         3                 0.06%
sheffield                      3                 0.06%
shine                          3                 0.06%
siemens                        3                 0.06%
signature                      3                 0.06%
son                            3                 0.06%
souls                          3                 0.06%
spec                           3                 0.06%
specialist                     3                 0.06%
spirits                        3                 0.06%
sport                          3                 0.06%
spray                          3                 0.06%
standing                       3                 0.06%
station                        3                 0.06%
statistics                     3                 0.06%
strip                          3                 0.06%
subjects                       3                 0.06%
summary                        3                 0.06%
summer                         3                 0.06%
supports                       3                 0.06%
symposium                      3                 0.06%
sync                           3                 0.06%
tables                         3                 0.06%
tablet                         3                 0.06%
tablets                        3                 0.06%
tampa                          3                 0.06%
tariff                         3                 0.06%
te                             3                 0.06%
techniques                     3                 0.06%
thirty                         3                 0.06%
throwing                       3                 0.06%
timothy                        3                 0.06%
toy                            3                 0.06%
tr                             3                 0.06%
trackback                      3                 0.06%
trap                           3                 0.06%
two                            3                 0.06%
tyler                          3                 0.06%
ui                             3                 0.06%
ukraine                        3                 0.06%
um                             3                 0.06%
unions                         3                 0.06%
universal                      3                 0.06%
unusual                        3                 0.06%
upskirt                        3                 0.06%
usage                          3                 0.06%
user                           3                 0.06%
v                              3                 0.06%
vacations                      3                 0.06%
validity                       3                 0.06%
visitors                       3                 0.06%
vulnerable                     3                 0.06%
warranties                     3                 0.06%
web                            3                 0.06%
weblog                         3                 0.06%
webmaster                      3                 0.06%
why                            3                 0.06%
wilson                         3                 0.06%
www                            3                 0.06%
yarn                           3                 0.06%
yrs                            3                 0.06%
ar                             2                 0.04%
assignments                    2                 0.04%
bless                          2                 0.04%
blind                          2                 0.04%
boobs                          2                 0.04%
bool                           2                 0.04%
boxing                         2                 0.04%
bw                             2                 0.04%
calgary                        2                 0.04%
cams                           2                 0.04%
cb                             2                 0.04%
cedar                          2                 0.04%
chrome                         2                 0.04%
climb                          2                 0.04%
closely                        2                 0.04%
coated                         2                 0.04%
coleman                        2                 0.04%
colored                        2                 0.04%
cr                             2                 0.04%
database                       2                 0.04%
defend                         2                 0.04%
described                      2                 0.04%
designation                    2                 0.04%
desirable                      2                 0.04%
despite                        2                 0.04%
detailed                       2                 0.04%
diabetes                       2                 0.04%
dies                           2                 0.04%
dist                           2                 0.04%
distance                       2                 0.04%
double                         2                 0.04%
dozens                         2                 0.04%
drill                          2                 0.04%
drops                          2                 0.04%
drove                          2                 0.04%
ea                             2                 0.04%
eagle                          2                 0.04%
earl                           2                 0.04%
earliest                       2                 0.04%
ebook                          2                 0.04%
ecological                     2                 0.04%
edmonton                       2                 0.04%
efficiency                     2                 0.04%
el                             2                 0.04%
elect                          2                 0.04%
emirates                       2                 0.04%
emphasis                       2                 0.04%
employer                       2                 0.04%
enb                            2                 0.04%
engineering                    2                 0.04%
england                        2                 0.04%
entrepreneurs                  2                 0.04%
ep                             2                 0.04%
er                             2                 0.04%
essence                        2                 0.04%
establishing                   2                 0.04%
evaluations                    2                 0.04%
evans                          2                 0.04%
event                          2                 0.04%
everywhere                     2                 0.04%
excerpt                        2                 0.04%
exclusion                      2                 0.04%
exclusively                    2                 0.04%
expanding                      2                 0.04%
exploring                      2                 0.04%
fancy                          2                 0.04%
fascinating                    2                 0.04%
fatal                          2                 0.04%
favorite                       2                 0.04%
federal                        2                 0.04%
fiction                        2                 0.04%
fifth                          2                 0.04%
fighter                        2                 0.04%
finishing                      2                 0.04%
finnish                        2                 0.04%
firms                          2                 0.04%
flag                           2                 0.04%
flight                         2                 0.04%
fly                            2                 0.04%
forgotten                      2                 0.04%
formats                        2                 0.04%
fort                           2                 0.04%
forums                         2                 0.04%
forward                        2                 0.04%
fossil                         2                 0.04%
found                          2                 0.04%
fragrance                      2                 0.04%
frank                          2                 0.04%
fred                           2                 0.04%
frequently                     2                 0.04%
from                           2                 0.04%
fully                          2                 0.04%
fwd                            2                 0.04%
gaming                         2                 0.04%
garlic                         2                 0.04%
gate                           2                 0.04%
gather                         2                 0.04%
gazette                        2                 0.04%
gbp                            2                 0.04%
geo                            2                 0.04%
getting                        2                 0.04%
girl                           2                 0.04%
given                          2                 0.04%
glory                          2                 0.04%
gold                           2                 0.04%
golf                           2                 0.04%
gossip                         2                 0.04%
graph                          2                 0.04%
greece                         2                 0.04%
grocery                        2                 0.04%
grown                          2                 0.04%
guatemala                      2                 0.04%
guild                          2                 0.04%
guinea                         2                 0.04%
guitars                        2                 0.04%
halfcom                        2                 0.04%
halo                           2                 0.04%
handled                        2                 0.04%
handmade                       2                 0.04%
happens                        2                 0.04%
happy                          2                 0.04%
harm                           2                 0.04%
harrison                       2                 0.04%
hartford                       2                 0.04%
hat                            2                 0.04%
hazard                         2                 0.04%
hazards                        2                 0.04%
headset                        2                 0.04%
heating                        2                 0.04%
heavily                        2                 0.04%
helpful                        2                 0.04%
helping                        2                 0.04%
hentai                         2                 0.04%
hero                           2                 0.04%
hill                           2                 0.04%
hold                           2                 0.04%
holds                          2                 0.04%
hollow                         2                 0.04%
honors                         2                 0.04%
hoped                          2                 0.04%
hopes                          2                 0.04%
hoping                         2                 0.04%
horizon                        2                 0.04%
horizontal                     2                 0.04%
horn                           2                 0.04%
hotels                         2                 0.04%
hotelscom                      2                 0.04%
hotmail                        2                 0.04%
houston                        2                 0.04%
http                           2                 0.04%
ict                            2                 0.04%
identical                      2                 0.04%
idol                           2                 0.04%
impact                         2                 0.04%
improved                       2                 0.04%
improvement                    2                 0.04%
inches                         2                 0.04%
incident                       2                 0.04%
increasing                     2                 0.04%
indexed                        2                 0.04%
inkjet                         2                 0.04%
inquire                        2                 0.04%
inspiration                    2                 0.04%
installed                      2                 0.04%
institute                      2                 0.04%
institution                    2                 0.04%
institutions                   2                 0.04%
instructions                   2                 0.04%
instruments                    2                 0.04%
intended                       2                 0.04%
intent                         2                 0.04%
intl                           2                 0.04%
into                           2                 0.04%
introduces                     2                 0.04%
introduction                   2                 0.04%
invention                      2                 0.04%
inventory                      2                 0.04%
invision                       2                 0.04%
invoice                        2                 0.04%
isaac                          2                 0.04%
issn                           2                 0.04%
jack                           2                 0.04%
jackie                         2                 0.04%
jane                           2                 0.04%
jar                            2                 0.04%
je                             2                 0.04%
jewelry                        2                 0.04%
jonathan                       2                 0.04%
jordan                         2                 0.04%
jp                             2                 0.04%
julia                          2                 0.04%
june                           2                 0.04%
justice                        2                 0.04%
k                              2                 0.04%
karen                          2                 0.04%
keith                          2                 0.04%
keno                           2                 0.04%
kentucky                       2                 0.04%
kevin                          2                 0.04%
keyboards                      2                 0.04%
killer                         2                 0.04%
kills                          2                 0.04%
kind                           2                 0.04%
kingston                       2                 0.04%
kit                            2                 0.04%
knight                         2                 0.04%
knit                           2                 0.04%
knowledge                      2                 0.04%
landscape                      2                 0.04%
latinas                        2                 0.04%
layout                         2                 0.04%
lbs                            2                 0.04%
leasing                        2                 0.04%
legal                          2                 0.04%
legendary                      2                 0.04%
legitimate                     2                 0.04%
legs                           2                 0.04%
len                            2                 0.04%
length                         2                 0.04%
lf                             2                 0.04%
librarian                      2                 0.04%
lights                         2                 0.04%
likely                         2                 0.04%
line                           2                 0.04%
linked                         2                 0.04%
lists                          2                 0.04%
livesex                        2                 0.04%
lo                             2                 0.04%
load                           2                 0.04%
loaded                         2                 0.04%
located                        2                 0.04%
log                            2                 0.04%
logged                         2                 0.04%
lolita                         2                 0.04%
loop                           2                 0.04%
lounge                         2                 0.04%
lover                          2                 0.04%
lovers                         2                 0.04%
lowest                         2                 0.04%
lows                           2                 0.04%
luis                           2                 0.04%
lycos                          2                 0.04%
lyric                          2                 0.04%
mail                           2                 0.04%
main                           2                 0.04%
maker                          2                 0.04%
mandate                        2                 0.04%
many                           2                 0.04%
marathon                       2                 0.04%
margin                         2                 0.04%
marion                         2                 0.04%
marking                        2                 0.04%
marriage                       2                 0.04%
maternity                      2                 0.04%
mats                           2                 0.04%
max                            2                 0.04%
maximize                       2                 0.04%
meals                          2                 0.04%
meaning                        2                 0.04%
medicaid                       2                 0.04%
medicare                       2                 0.04%
medicines                      2                 0.04%
mention                        2                 0.04%
mentioned                      2                 0.04%
menu                           2                 0.04%
merchandise                    2                 0.04%
merge                          2                 0.04%
meyer                          2                 0.04%
mia                            2                 0.04%
miami                          2                 0.04%
microphone                     2                 0.04%
midnight                       2                 0.04%
milfhunter                     2                 0.04%
millennium                     2                 0.04%
minimize                       2                 0.04%
ministry                       2                 0.04%
miss                           2                 0.04%
missile                        2                 0.04%
mission                        2                 0.04%
