======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 500
Palabras únicas: 487
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
----------------------------------------------------------------------
notice                         3                 0.60%
blues                          2                 0.40%
charity                        2                 0.40%
copy                           2                 0.40%
flood                          2                 0.40%
hurt                           2                 0.40%
pairs                          2                 0.40%
pipe                           2                 0.40%
pottery                        2                 0.40%
reveals                        2                 0.40%
suggestion                     2                 0.40%
thumb                          2                 0.40%
acquisition                    1                 0.20%
advances                       1                 0.20%
affects                        1                 0.20%
aids                           1                 0.20%
allergy                        1                 0.20%
ambient                        1                 0.20%
an                             1                 0.20%
analyzed                       1                 0.20%
antiques                       1                 0.20%
apple                          1                 0.20%
archive                        1                 0.20%
archived                       1                 0.20%
argued                         1                 0.20%
aruba                          1                 0.20%
aside                          1                 0.20%
assembled                      1                 0.20%
aw                             1                 0.20%
ban                            1                 0.20%
bangbus                        1                 0.20%
basin                          1                 0.20%
bedrooms                       1                 0.20%
beds                           1                 0.20%
belt                           1                 0.20%
benchmark                      1                 0.20%
bestiality                     1                 0.20%
beverly                        1                 0.20%
bible                          1                 0.20%
bigger                         1                 0.20%
biography                      1                 0.20%
biol                           1                 0.20%
blond                          1                 0.20%
bodies                         1                 0.20%
breeds                         1                 0.20%
bring                          1                 0.20%
britain                        1                 0.20%
broker                         1                 0.20%
brutal                         1                 0.20%
buddy                          1                 0.20%
buildings                      1                 0.20%
built                          1                 0.20%
bunch                          1                 0.20%
butler                         1                 0.20%
butts                          1                 0.20%
cables                         1                 0.20%
calculated                     1                 0.20%
calendars                      1                 0.20%
california                     1                 0.20%
cameron                        1                 0.20%
cancel                         1                 0.20%
capital                        1                 0.20%
cashiers                       1                 0.20%
catalogs                       1                 0.20%
causing                        1                 0.20%
celebration                    1                 0.20%
census                         1                 0.20%
cfr                            1                 0.20%
challenges                     1                 0.20%
chaos                          1                 0.20%
chips                          1                 0.20%
christopher                    1                 0.20%
chronic                        1                 0.20%
churches                       1                 0.20%
class                          1                 0.20%
clock                          1                 0.20%
clocks                         1                 0.20%
closes                         1                 0.20%
colin                          1                 0.20%
commented                      1                 0.20%
comparable                     1                 0.20%
complexity                     1                 0.20%
complicated                    1                 0.20%
confidential                   1                 0.20%
connections                    1                 0.20%
conservation                   1                 0.20%
considerations                 1                 0.20%
consolidated                   1                 0.20%
consultation                   1                 0.20%
consulting                     1                 0.20%
contain                        1                 0.20%
continually                    1                 0.20%
continued                      1                 0.20%
continues                      1                 0.20%
contracting                    1                 0.20%
convenience                    1                 0.20%
coordinates                    1                 0.20%
copying                        1                 0.20%
cornwall                       1                 0.20%
correctly                      1                 0.20%
covered                        1                 0.20%
cowboy                         1                 0.20%
cream                          1                 0.20%
create                         1                 0.20%
cricket                        1                 0.20%
crucial                        1                 0.20%
cum                            1                 0.20%
cutting                        1                 0.20%
cyber                          1                 0.20%
cycling                        1                 0.20%
dallas                         1                 0.20%
daughters                      1                 0.20%
dealing                        1                 0.20%
debian                         1                 0.20%
debut                          1                 0.20%
decades                        1                 0.20%
declaration                    1                 0.20%
declined                       1                 0.20%
deemed                         1                 0.20%
defines                        1                 0.20%
democrat                       1                 0.20%
democratic                     1                 0.20%
den                            1                 0.20%
deny                           1                 0.20%
dependent                      1                 0.20%
deployment                     1                 0.20%
desirable                      1                 0.20%
detailed                       1                 0.20%
detroit                        1                 0.20%
developers                     1                 0.20%
developments                   1                 0.20%
devil                          1                 0.20%
diamond                        1                 0.20%
diana                          1                 0.20%
dimension                      1                 0.20%
discharge                      1                 0.20%
dns                            1                 0.20%
doc                            1                 0.20%
dodge                          1                 0.20%
dominant                       1                 0.20%
dominican                      1                 0.20%
dozen                          1                 0.20%
dr                             1                 0.20%
drama                          1                 0.20%
dress                          1                 0.20%
earth                          1                 0.20%
easier                         1                 0.20%
ecology                        1                 0.20%
edmonton                       1                 0.20%
electro                        1                 0.20%
