======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 184
Palabras únicas: 144
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
----------------------------------------------------------------------
amongst                        4                 2.17%
brass                          4                 2.17%
chain                          4                 2.17%
doc                            4                 2.17%
filme                          4                 2.17%
holders                        4                 2.17%
inflation                      4                 2.17%
kingston                       4                 2.17%
lease                          4                 2.17%
monaco                         4                 2.17%
revenues                       4                 2.17%
targeted                       4                 2.17%
pre                            3                 1.63%
wood                           3                 1.63%
advantages                     1                 0.54%
afternoon                      1                 0.54%
algebra                        1                 0.54%
amounts                        1                 0.54%
anchor                         1                 0.54%
answering                      1                 0.54%
apache                         1                 0.54%
atomic                         1                 0.54%
attending                      1                 0.54%
automation                     1                 0.54%
bases                          1                 0.54%
biz                            1                 0.54%
blowjob                        1                 0.54%
boots                          1                 0.54%
builders                       1                 0.54%
cannon                         1                 0.54%
catalog                        1                 0.54%
cheese                         1                 0.54%
chosen                         1                 0.54%
clan                           1                 0.54%
classes                        1                 0.54%
come                           1                 0.54%
comic                          1                 0.54%
compatibility                  1                 0.54%
conduct                        1                 0.54%
conferencing                   1                 0.54%
consisting                     1                 0.54%
container                      1                 0.54%
corp                           1                 0.54%
correct                        1                 0.54%
correlation                    1                 0.54%
creates                        1                 0.54%
croatia                        1                 0.54%
dean                           1                 0.54%
deck                           1                 0.54%
defence                        1                 0.54%
delays                         1                 0.54%
disposal                       1                 0.54%
exams                          1                 0.54%
excessive                      1                 0.54%
faculty                        1                 0.54%
feeding                        1                 0.54%
females                        1                 0.54%
fill                           1                 0.54%
filter                         1                 0.54%
fioricet                       1                 0.54%
form                           1                 0.54%
frozen                         1                 0.54%
galleries                      1                 0.54%
genome                         1                 0.54%
goals                          1                 0.54%
hall                           1                 0.54%
hampshire                      1                 0.54%
history                        1                 0.54%
ht                             1                 0.54%
hub                            1                 0.54%
icons                          1                 0.54%
ignored                        1                 0.54%
initiative                     1                 0.54%
instantly                      1                 0.54%
interface                      1                 0.54%
ion                            1                 0.54%
italy                          1                 0.54%
j                              1                 0.54%
jeff                           1                 0.54%
jon                            1                 0.54%
jose                           1                 0.54%
kuwait                         1                 0.54%
literacy                       1                 0.54%
magazines                      1                 0.54%
males                          1                 0.54%
man                            1                 0.54%
mens                           1                 0.54%
midi                           1                 0.54%
minneapolis                    1                 0.54%
munich                         1                 0.54%
naturals                       1                 0.54%
networks                       1                 0.54%
newly                          1                 0.54%
night                          1                 0.54%
norm                           1                 0.54%
objects                        1                 0.54%
odd                            1                 0.54%
olympic                        1                 0.54%
opens                          1                 0.54%
ou                             1                 0.54%
out                            1                 0.54%
outlook                        1                 0.54%
parent                         1                 0.54%
practical                      1                 0.54%
preparation                    1                 0.54%
priced                         1                 0.54%
prof                           1                 0.54%
prominent                      1                 0.54%
protest                        1                 0.54%
purposes                       1                 0.54%
remained                       1                 0.54%
rentals                        1                 0.54%
resort                         1                 0.54%
responsibilities               1                 0.54%
returned                       1                 0.54%
rio                            1                 0.54%
rule                           1                 0.54%
sectors                        1                 0.54%
serious                        1                 0.54%
sides                          1                 0.54%
sorry                          1                 0.54%
southampton                    1                 0.54%
sq                             1                 0.54%
ss                             1                 0.54%
steve                          1                 0.54%
stores                         1                 0.54%
str                            1                 0.54%
sweden                         1                 0.54%
table                          1                 0.54%
tba                            1                 0.54%
teen                           1                 0.54%
textiles                       1                 0.54%
tiger                          1                 0.54%
touch                          1                 0.54%
turkish                        1                 0.54%
undo                           1                 0.54%
unity                          1                 0.54%
variety                        1                 0.54%
vessels                        1                 0.54%
vice                           1                 0.54%
violence                       1                 0.54%
way                            1                 0.54%
weight                         1                 0.54%
win                            1                 0.54%
======================================================================
Tiempo de ejecución: 0.000452 segundos
======================================================================
