======================================================================
CONTEO DE FRECUENCIA DE PALABRAS
======================================================================
Total de palabras: 1000
Palabras únicas: 949
======================================================================
PALABRA                        FRECUENCIA      PORCENTAJE     
----------------------------------------------------------------------
started                        3                 0.30%
annual                         2                 0.20%
benchmark                      2                 0.20%
book                           2                 0.20%
castle                         2                 0.20%
charts                         2                 0.20%
clients                        2                 0.20%
coastal                        2                 0.20%
confidential                   2                 0.20%
consist                        2                 0.20%
contains                       2                 0.20%
crazy                          2                 0.20%
data                           2                 0.20%
ddr                            2                 0.20%
detroit                        2                 0.20%
diamonds                       2                 0.20%
diseases                       2                 0.20%
dramatically                   2                 0.20%
earning                        2                 0.20%
farm                           2                 0.20%
fought                         2                 0.20%
fucking                        2                 0.20%
hampton                        2                 0.20%
humidity                       2                 0.20%
javascript                     2                 0.20%
literally                      2                 0.20%
maiden                         2                 0.20%
metallic                       2                 0.20%
modification                   2                 0.20%
morocco                        2                 0.20%
navy                           2                 0.20%
nvidia                         2                 0.20%
onion                          2                 0.20%
panels                         2                 0.20%
physical                       2                 0.20%
plays                          2                 0.20%
poor                           2                 0.20%
racial                         2                 0.20%
reached                        2                 0.20%
renaissance                    2                 0.20%
ringtone                       2                 0.20%
salt                           2                 0.20%
shown                          2                 0.20%
since                          2                 0.20%
sparc                          2                 0.20%
supplier                       2                 0.20%
tiffany                        2                 0.20%
tired                          2                 0.20%
za                             2                 0.20%
zimbabwe                       2                 0.20%
adjustable                     1                 0.10%
admin                          1                 0.10%
adolescent                     1                 0.10%
albuquerque                    1                 0.10%
alternatives                   1                 0.10%
amazon                         1                 0.10%
analyst                        1                 0.10%
appreciate                     1                 0.10%
approve                        1                 0.10%
ar                             1                 0.10%
arabia                         1                 0.10%
architects                     1                 0.10%
arthritis                      1                 0.10%
asian                          1                 0.10%
assessed                       1                 0.10%
assigned                       1                 0.10%
ata                            1                 0.10%
ate                            1                 0.10%
attention                      1                 0.10%
audit                          1                 0.10%
australian                     1                 0.10%
az                             1                 0.10%
baby                           1                 0.10%
bacterial                      1                 0.10%
banking                        1                 0.10%
barrel                         1                 0.10%
barrier                        1                 0.10%
based                          1                 0.10%
baskets                        1                 0.10%
beach                          1                 0.10%
beaches                        1                 0.10%
beads                          1                 0.10%
beans                          1                 0.10%
beautiful                      1                 0.10%
bedrooms                       1                 0.10%
began                          1                 0.10%
begin                          1                 0.10%
beginner                       1                 0.10%
belkin                         1                 0.10%
below                          1                 0.10%
ben                            1                 0.10%
bend                           1                 0.10%
berlin                         1                 0.10%
berry                          1                 0.10%
beside                         1                 0.10%
beverage                       1                 0.10%
bible                          1                 0.10%
biggest                        1                 0.10%
bike                           1                 0.10%
bingo                          1                 0.10%
bio                            1                 0.10%
biographies                    1                 0.10%
biz                            1                 0.10%
bizrate                        1                 0.10%
bk                             1                 0.10%
blade                          1                 0.10%
blend                          1                 0.10%
bloom                          1                 0.10%
